Header Length,5
Powered by Labfront
Documentation,https://help.labfront.com/data-documentation
projectId,projectTitle,participantId,participantInsignia,batchId,methodId,firstSampleUnixTimestampInMs,lastSampleUnixTimestampInMs
2f38ca27-bac7-476c-b735-95faf7ba3c1d,QA Template: Garmin Full Test,6732ab82-077a-4bfd-8f89-246aba683253,sample_participant_01,9a01a9a6-b720-475b-a0c9-b7312b0ed952,d2c5013a-26e5-461e-b3d0-1f6b216a7f37,1672675200000,1675443060000

timezoneOffsetInMs,unixTimestampInMs,isoDate,stressLevel,bodyBattery
28800000,1672715880000,2023-01-03T11:18:00.000+08:00,-1,
28800000,1672716060000,2023-01-03T11:21:00.000+08:00,-1,
28800000,1672716240000,2023-01-03T11:24:00.000+08:00,-1,
28800000,1672716420000,2023-01-03T11:27:00.000+08:00,-1,
28800000,1672716600000,2023-01-03T11:30:00.000+08:00,-1,
28800000,1672716780000,2023-01-03T11:33:00.000+08:00,-1,
28800000,1672716960000,2023-01-03T11:36:00.000+08:00,-1,
28800000,1672717140000,2023-01-03T11:39:00.000+08:00,-1,
28800000,1672717320000,2023-01-03T11:42:00.000+08:00,-1,
28800000,1672717500000,2023-01-03T11:45:00.000+08:00,-1,
28800000,1672717680000,2023-01-03T11:48:00.000+08:00,-1,
28800000,1672717860000,2023-01-03T11:51:00.000+08:00,-1,
28800000,1672718040000,2023-01-03T11:54:00.000+08:00,-1,
28800000,1672718220000,2023-01-03T11:57:00.000+08:00,-1,
28800000,1672718400000,2023-01-03T12:00:00.000+08:00,-1,
28800000,1672718580000,2023-01-03T12:03:00.000+08:00,-1,
28800000,1672718760000,2023-01-03T12:06:00.000+08:00,-1,
28800000,1672718940000,2023-01-03T12:09:00.000+08:00,-1,
28800000,1672719120000,2023-01-03T12:12:00.000+08:00,-1,
28800000,1672719300000,2023-01-03T12:15:00.000+08:00,-1,
28800000,1672719480000,2023-01-03T12:18:00.000+08:00,-1,
28800000,1672719660000,2023-01-03T12:21:00.000+08:00,12,70
28800000,1672719840000,2023-01-03T12:24:00.000+08:00,-1,70
28800000,1672720020000,2023-01-03T12:27:00.000+08:00,-1,70
28800000,1672720200000,2023-01-03T12:30:00.000+08:00,-1,70
28800000,1672720380000,2023-01-03T12:33:00.000+08:00,-1,70
28800000,1672720560000,2023-01-03T12:36:00.000+08:00,-1,70
28800000,1672720740000,2023-01-03T12:39:00.000+08:00,17,70
28800000,1672720920000,2023-01-03T12:42:00.000+08:00,-1,70
28800000,1672721100000,2023-01-03T12:45:00.000+08:00,-1,
28800000,1672721280000,2023-01-03T12:48:00.000+08:00,-1,
28800000,1672721460000,2023-01-03T12:51:00.000+08:00,-1,
28800000,1672721640000,2023-01-03T12:54:00.000+08:00,-1,
28800000,1672721820000,2023-01-03T12:57:00.000+08:00,-1,
