Header Length,5
Powered by Labfront
Documentation,https://help.labfront.com/data-documentation
projectId,projectTitle,participantId,participantInsignia,batchId,methodId,taskId,taskScheduleRepeat,taskScheduleDescription,garminDeviceId,firstSampleUnixTimestampInMs,lastSampleUnixTimestampInMs
2f38ca27-bac7-476c-b735-95faf7ba3c1d,QA Template: Garmin Full Test,6732ab82-077a-4bfd-8f89-246aba683253,sample_participant_01,9a01a9a6-b720-475b-a0c9-b7312b0ed952,d2c5013a-26e5-461e-b3d0-1f6b216a7f37,1725e82d-8800-4fd7-a12f-a712238e949e,false,,dba71865-d874-421e-a324-1ecc7df9b5a0,1675166467000,1675645200000

timezone,unixTimestampInMs,isoDate,deviceType,durationInMs,steps,totalSteps
Asia/Taipei,1675179360000,2023-01-31T23:36:00.000+08:00,,60,0,2270
Asia/Taipei,1675179420000,2023-01-31T23:37:00.000+08:00,,60,0,2270
Asia/Taipei,1675179480000,2023-01-31T23:38:00.000+08:00,,60,0,2270
Asia/Taipei,1675179540000,2023-01-31T23:39:00.000+08:00,,60,0,2270
Asia/Taipei,1675179600000,2023-01-31T23:40:00.000+08:00,,60,0,2270
Asia/Taipei,1675179660000,2023-01-31T23:41:00.000+08:00,,60,0,2270
Asia/Taipei,1675179720000,2023-01-31T23:42:00.000+08:00,,60,0,2270
Asia/Taipei,1675179780000,2023-01-31T23:43:00.000+08:00,,60,0,2270
Asia/Taipei,1675179840000,2023-01-31T23:44:00.000+08:00,,60,0,2270
Asia/Taipei,1675179900000,2023-01-31T23:45:00.000+08:00,,60,0,2270
Asia/Taipei,1675179960000,2023-01-31T23:46:00.000+08:00,,60,0,2270
Asia/Taipei,1675180020000,2023-01-31T23:47:00.000+08:00,,60,0,2270
Asia/Taipei,1675180080000,2023-01-31T23:48:00.000+08:00,,60,21,2291
Asia/Taipei,1675180140000,2023-01-31T23:49:00.000+08:00,,60,0,2291
Asia/Taipei,1675180200000,2023-01-31T23:50:00.000+08:00,,60,0,2291
Asia/Taipei,1675180260000,2023-01-31T23:51:00.000+08:00,,60,0,2291
